freelancer_id,year,quarter,city,gender,age,age_missing_flag,education_level,edu_missing_flag,english_proficiency,english_missing_flag,platform,profile_level,skill_category,primary_skill,account_age_years,experience_years,exp_missing_flag,profile_complete_pct,profile_missing_flag,hourly_rate_usd,monthly_active_hours,hours_missing_flag,monthly_earnings_usd,pkr_usd_rate,monthly_earnings_pkr,jobs_completed,review_score,review_missing_flag,job_success_score_pct,jss_missing_flag,repeat_client_rate_pct,repeat_missing_flag,primary_client_region,payment_method,freelancing_as_primary_income
PK-FL-00001,2022,Q3,Rawalpindi,Male,21.0,0,Bachelor's,1,Basic,0,Upwork,Top Rated,Web Development,Vue.js,7.1,3.0,0,92.0,0,22.7,139.0,0,2382.0,219.7,523325.0,189,4.7,0,96.0,0,61.0,0,USA,Payoneer + Skrill,No - Side Income
PK-FL-00002,2025,Q4,Peshawar,Male,18.0,0,Bachelor's,0,Conversational,0,Freelancer.com,Preferred Freelancer,Digital Marketing,SEO,3.1,0.5,0,96.0,0,18.4,168.0,0,2352.0,278.9,655973.0,42,4.4,0,,1,50.0,0,Canada,JazzCash/Easypaisa,Yes
PK-FL-00003,2020,Q2,Hyderabad,Male,44.0,0,Master's,0,Native/Bilingual,0,Fiverr,Level 2,Video Editing,Colour Grading,1.8,1.9,0,66.0,0,4.7,95.0,0,422.0,155.9,65790.0,58,5.0,0,,1,15.0,0,Canada,Wise,No - Side Income
PK-FL-00004,2019,Q2,Peshawar,Male,31.0,0,Bachelor's,0,Fluent,0,Upwork,Top Rated,Digital Marketing,Pinterest Marketing,3.9,5.0,0,99.0,0,21.8,146.0,0,2147.0,145.1,311530.0,216,4.9,0,93.0,0,51.0,0,USA,Wise,Yes
PK-FL-00005,2021,Q3,Gujranwala,Female,36.0,0,Self-taught/No Formal Degree,0,Native/Bilingual,0,Upwork,Rising Talent,Web Development,TypeScript,6.3,1.1,0,72.0,0,8.8,163.0,0,1076.0,170.6,183566.0,45,4.9,0,77.0,0,36.0,0,Australia,Wise,Yes
PK-FL-00006,2021,Q1,Gujrat,Female,28.0,0,Master's,0,Fluent,0,Upwork,Top Rated,Video Editing,Podcast Editing,6.9,5.7,0,99.0,0,13.3,74.0,0,838.0,175.2,146818.0,142,4.8,0,94.0,0,42.0,0,UK,Payoneer + Bank Transfer,Yes
PK-FL-00007,2020,Q3,Peshawar,Male,20.0,0,Bachelor's,0,Native/Bilingual,0,Fiverr,New Seller,Digital Marketing,Content Marketing,5.0,0.5,0,69.0,0,17.6,45.0,0,605.0,158.1,95650.0,0,,1,,1,19.0,0,USA,Payoneer,No - Side Income
PK-FL-00008,2024,Q3,Sargodha,Male,22.0,0,Bachelor's,0,Conversational,0,Upwork,Top Rated,Content Writing,Ghostwriting,1.5,0.6,0,89.0,0,5.3,34.0,0,113.0,282.3,31900.0,86,4.8,0,93.0,0,59.0,0,Canada,Bank Transfer,No - Side Income
PK-FL-00009,2023,Q3,Islamabad,Male,28.0,0,Master's,0,Fluent,0,Fiverr,Level 2,Mobile App Development,Xamarin,2.7,3.7,0,66.0,0,16.0,34.0,0,331.0,248.7,82320.0,139,4.9,0,,1,27.0,0,UK,Bank Transfer,Yes
PK-FL-00010,2025,Q3,Rawalpindi,Male,41.0,0,Master's,0,Basic,0,Upwork,Rising Talent,Web Development,React.js,5.8,1.8,0,88.0,1,27.5,34.0,0,551.0,282.2,155492.0,22,3.5,0,89.0,0,32.0,0,UK,Payoneer + Wise,No - Side Income
